id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,clockSec
40181004319,19,"{'id': '109', 'text': 'Running Layup Shot'}",Victor Wembanyama misses two point shot,0,3,1,10:36,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:12:29Z,True,"{'x': 24, 'y': 1}",2,636.0
40181004320,20,"{'id': '155', 'text': 'Defensive Rebound'}",Trey Murphy III defensive rebound,0,3,1,10:35,False,0,{'id': '3'},[{'athlete': {'id': '4397688'}}],2025-11-09T01:12:30Z,False,"{'x': 24, 'y': 1}",0,635.0
40181004321,21,"{'id': '109', 'text': 'Running Layup Shot'}",Saddiq Bey makes two point shot,2,3,1,10:30,True,2,{'id': '3'},[{'athlete': {'id': '4397136'}}],2025-11-09T01:12:35Z,True,"{'x': 25, 'y': 1}",2,630.0
40181004322,22,"{'id': '118', 'text': 'Alley Oop Dunk Shot'}",Victor Wembanyama makes alley oop dunk shot (Stephon Castle assists),2,5,1,10:24,True,2,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4845367'}}]",2025-11-09T01:12:41Z,True,"{'x': 24, 'y': 1}",2,624.0
40181004324,24,"{'id': '132', 'text': 'Step Back Jump Shot'}",Saddiq Bey misses 26-foot three point step back jumpshot,2,5,1,10:11,False,0,{'id': '3'},[{'athlete': {'id': '4397136'}}],2025-11-09T01:12:54Z,True,"{'x': 25, 'y': 27}",3,611.0
40181004325,25,"{'id': '156', 'text': 'Offensive Rebound'}",Trey Murphy III offensive rebound,2,5,1,10:11,False,0,{'id': '3'},[{'athlete': {'id': '4397688'}}],2025-11-09T01:12:54Z,False,"{'x': 25, 'y': 27}",0,611.0
40181004326,26,"{'id': '150', 'text': 'Tip Dunk Shot'}",Trey Murphy III makes dunk,4,5,1,10:10,True,2,{'id': '3'},[{'athlete': {'id': '4397688'}}],2025-11-09T01:13:00Z,True,"{'x': 25, 'y': 0}",2,610.0
40181004327,27,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Victor Wembanyama bad pass (Jeremiah Fears steals),4,5,1,9:53,False,0,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '5144091'}}]",2025-11-09T01:13:12Z,False,"{'x': 22, 'y': 4}",0,593.0
40181004329,29,"{'id': '92', 'text': 'Jump Shot'}",Herbert Jones misses 26-foot three point jumper,4,5,1,9:38,False,0,{'id': '3'},[{'athlete': {'id': '4277813'}}],2025-11-09T01:13:27Z,True,"{'x': 9, 'y': 22}",3,578.0
40181004330,30,"{'id': '156', 'text': 'Offensive Rebound'}",Saddiq Bey offensive rebound,4,5,1,9:37,False,0,{'id': '3'},[{'athlete': {'id': '4397136'}}],2025-11-09T01:13:28Z,False,"{'x': 9, 'y': 22}",0,577.0
40181004331,31,"{'id': '94', 'text': 'Tip Shot'}",Saddiq Bey misses tip shot,4,5,1,9:36,False,0,{'id': '3'},[{'athlete': {'id': '4397136'}}],2025-11-09T01:13:33Z,True,"{'x': 25, 'y': 0}",2,576.0
40181004332,32,"{'id': '155', 'text': 'Defensive Rebound'}",De'Aaron Fox defensive rebound,4,5,1,9:35,False,0,{'id': '24'},[{'athlete': {'id': '4066259'}}],2025-11-09T01:13:34Z,False,"{'x': 25, 'y': 0}",0,575.0
40181004333,33,"{'id': '118', 'text': 'Alley Oop Dunk Shot'}",Victor Wembanyama makes alley oop dunk shot (Stephon Castle assists),4,7,1,9:22,True,2,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4845367'}}]",2025-11-09T01:13:43Z,True,"{'x': 25, 'y': 1}",2,562.0
40181004335,35,"{'id': '45', 'text': 'Personal Foul'}",De'Aaron Fox personal foul,4,7,1,9:09,False,0,{'id': '24'},[{'athlete': {'id': '4066259'}}],2025-11-09T01:14:01Z,False,"{'x': 9, 'y': 18}",0,549.0
40181004337,37,"{'id': '92', 'text': 'Jump Shot'}",Trey Murphy III misses 27-foot three point jumper,4,7,1,9:02,False,0,{'id': '3'},[{'athlete': {'id': '4397688'}}],2025-11-09T01:14:22Z,True,"{'x': 34, 'y': 26}",3,542.0
40181004338,38,"{'id': '155', 'text': 'Defensive Rebound'}",Harrison Barnes defensive rebound,4,7,1,9:02,False,0,{'id': '24'},[{'athlete': {'id': '6578'}}],2025-11-09T01:14:22Z,False,"{'x': 34, 'y': 26}",0,542.0
