id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,team,participants,clockSec
401810187608,608,"{'id': '90', 'text': 'Out of Bounds - Bad Pass Turnover'}",Cooper Flagg out of bounds bad pass turnover,100,107,4,5:38,False,0,2025-12-04T03:31:41Z,False,"{'x': 12, 'y': 20}",0,Turnover,{'id': '6'},[{'athlete': {'id': '5041939'}}],338.0
401810187609,609,"{'id': '584', 'text': 'Substitution'}",Anthony Davis enters the game for Cooper Flagg,100,107,4,5:38,False,0,2025-12-04T03:31:50Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '6'},"[{'athlete': {'id': '6583'}}, {'athlete': {'id': '5041939'}}]",338.0
401810187610,610,"{'id': '584', 'text': 'Substitution'}",Klay Thompson enters the game for Dwight Powell,100,107,4,5:38,False,0,2025-12-04T03:31:50Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '6'},"[{'athlete': {'id': '6475'}}, {'athlete': {'id': '2531367'}}]",338.0
401810187611,611,"{'id': '584', 'text': 'Substitution'}",Bam Adebayo enters the game for Jaime Jaquez Jr.,100,107,4,5:38,False,0,2025-12-04T03:31:50Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '14'},"[{'athlete': {'id': '4066261'}}, {'athlete': {'id': '4432848'}}]",338.0
401810187615,615,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Andrew Wiggins misses driving floating jump shot,100,107,4,5:33,False,0,2025-12-04T03:32:18Z,True,"{'x': 29, 'y': 11}",2,Missed FG,{'id': '14'},[{'athlete': {'id': '3059319'}}],333.0
401810187616,616,"{'id': '155', 'text': 'Defensive Rebound'}",Anthony Davis defensive rebound,100,107,4,5:29,False,0,2025-12-04T03:32:22Z,False,"{'x': 29, 'y': 11}",0,Rebound,{'id': '6'},[{'athlete': {'id': '6583'}}],329.0
401810187617,617,"{'id': '132', 'text': 'Step Back Jump Shot'}",Ryan Nembhard makes 19-foot step back jumpshot,100,109,4,5:11,True,2,2025-12-04T03:32:40Z,True,"{'x': 20, 'y': 19}",2,+2 Points,{'id': '6'},[{'athlete': {'id': '4433629'}}],311.0
401810187618,618,"{'id': '128', 'text': 'Driving Finger Roll Layup'}",Kel'el Ware makes 3-foot two point shot (Simone Fontecchio assists),102,109,4,4:51,True,2,2025-12-04T03:33:00Z,True,"{'x': 27, 'y': 2}",2,+2 Points,{'id': '14'},"[{'athlete': {'id': '5105623'}}, {'athlete': {'id': '3899664'}}]",291.0
401810187620,620,"{'id': '44', 'text': 'Shooting Foul'}",Kel'el Ware shooting foul,102,109,4,4:26,False,0,2025-12-04T03:33:26Z,False,"{'x': 28, 'y': 8}",0,Foul,{'id': '14'},[{'athlete': {'id': '5105623'}}],266.0
401810187622,622,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Anthony Davis misses free throw 1 of 2,102,109,4,4:26,False,0,2025-12-04T03:34:08Z,True,"{'x': -214748340, 'y': -214748365}",1,Missed FT,{'id': '6'},[{'athlete': {'id': '6583'}}],266.0
401810187623,623,"{'id': '156', 'text': 'Offensive Rebound'}",Mavericks offensive team rebound,102,109,4,4:26,False,0,2025-12-04T03:34:08Z,False,"{'x': -214748340, 'y': -214748365}",0,Rebound,{'id': '6'},,266.0
401810187624,624,"{'id': '584', 'text': 'Substitution'}",Davion Mitchell enters the game for Simone Fontecchio,102,109,4,4:26,False,0,2025-12-04T03:34:08Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '14'},"[{'athlete': {'id': '4278053'}}, {'athlete': {'id': '3899664'}}]",266.0
401810187625,625,"{'id': '584', 'text': 'Substitution'}",Tyler Herro enters the game for Dru Smith,102,109,4,4:26,False,0,2025-12-04T03:34:08Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '14'},"[{'athlete': {'id': '4395725'}}, {'athlete': {'id': '4066993'}}]",266.0
401810187628,628,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Anthony Davis makes free throw 2 of 2,102,110,4,4:26,True,1,2025-12-04T03:34:30Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,{'id': '6'},[{'athlete': {'id': '6583'}}],266.0
401810187629,629,"{'id': '145', 'text': 'Driving Floating Bank Jump Shot'}",Bam Adebayo makes 12-foot two point shot (Davion Mitchell assists),104,110,4,4:19,True,2,2025-12-04T03:34:39Z,True,"{'x': 28, 'y': 12}",2,+2 Points,{'id': '14'},"[{'athlete': {'id': '4066261'}}, {'athlete': {'id': '4278053'}}]",259.0
401810187631,631,"{'id': '131', 'text': 'Pullup Jump Shot'}",Max Christie misses 9-foot pullup jump shot,104,110,4,3:49,False,0,2025-12-04T03:35:08Z,True,"{'x': 24, 'y': 10}",2,Missed FG,{'id': '6'},[{'athlete': {'id': '4432582'}}],229.0
401810187632,632,"{'id': '155', 'text': 'Defensive Rebound'}",Kel'el Ware defensive rebound,104,110,4,3:46,False,0,2025-12-04T03:35:11Z,False,"{'x': 24, 'y': 10}",0,Rebound,{'id': '14'},[{'athlete': {'id': '5105623'}}],226.0
401810187633,633,"{'id': '120', 'text': 'Turnaround Hook Shot'}",Anthony Davis blocks Andrew Wiggins 's 7-foot two point shot,104,110,4,3:32,False,0,2025-12-04T03:35:26Z,True,"{'x': 21, 'y': 7}",2,Missed FG,{'id': '14'},"[{'athlete': {'id': '3059319'}}, {'athlete': {'id': '6583'}}]",212.0
401810187635,635,"{'id': '156', 'text': 'Offensive Rebound'}",Heat offensive team rebound,104,110,4,3:30,False,0,2025-12-04T03:35:28Z,False,"{'x': 21, 'y': 7}",0,Rebound,{'id': '14'},,210.0
401810187637,637,"{'id': '16', 'text': 'Full Timeout'}",Heat Full timeout,104,110,4,3:30,False,0,2025-12-04T03:35:43Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,{'id': '14'},,210.0
401810187638,638,"{'id': '584', 'text': 'Substitution'}",Caleb Martin enters the game for Ryan Nembhard,104,110,4,3:30,False,0,2025-12-04T03:35:55Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '6'},"[{'athlete': {'id': '3138160'}}, {'athlete': {'id': '4433629'}}]",210.0
401810187639,639,"{'id': '584', 'text': 'Substitution'}",Cooper Flagg enters the game for Klay Thompson,104,110,4,3:30,False,0,2025-12-04T03:35:55Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '6'},"[{'athlete': {'id': '5041939'}}, {'athlete': {'id': '6475'}}]",210.0
401810187642,642,"{'id': '131', 'text': 'Pullup Jump Shot'}",Tyler Herro misses 26-foot three point pullup jump shot,104,110,4,3:25,False,0,2025-12-04T03:38:46Z,True,"{'x': 47, 'y': 15}",3,Missed 3PT,{'id': '14'},[{'athlete': {'id': '4395725'}}],205.0
401810187643,643,"{'id': '156', 'text': 'Offensive Rebound'}",Kel'el Ware offensive rebound,104,110,4,3:24,False,0,2025-12-04T03:38:47Z,False,"{'x': 47, 'y': 15}",0,Rebound,{'id': '14'},[{'athlete': {'id': '5105623'}}],204.0
401810187644,644,"{'id': '94', 'text': 'Tip Shot'}",Kel'el Ware misses tip shot,104,110,4,3:23,False,0,2025-12-04T03:38:54Z,True,"{'x': 25, 'y': 0}",2,Missed FG,{'id': '14'},[{'athlete': {'id': '5105623'}}],203.0
401810187645,645,"{'id': '155', 'text': 'Defensive Rebound'}",Anthony Davis defensive rebound,104,110,4,3:22,False,0,2025-12-04T03:38:55Z,False,"{'x': 25, 'y': 0}",0,Rebound,{'id': '6'},[{'athlete': {'id': '6583'}}],202.0
401810187646,646,"{'id': '16', 'text': 'Full Timeout'}",Mavericks Full timeout,104,110,4,3:22,False,0,2025-12-04T03:38:59Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,{'id': '6'},,202.0
401810187647,647,"{'id': '584', 'text': 'Substitution'}",Ryan Nembhard enters the game for Caleb Martin,104,110,4,3:22,False,0,2025-12-04T03:39:41Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,{'id': '6'},"[{'athlete': {'id': '4433629'}}, {'athlete': {'id': '3138160'}}]",202.0
401810187649,649,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Naji Marshall misses driving floating jump shot,104,110,4,3:01,False,0,2025-12-04T03:40:47Z,True,"{'x': 22, 'y': 7}",2,Missed FG,{'id': '6'},[{'athlete': {'id': '4278594'}}],181.0
401810187650,650,"{'id': '155', 'text': 'Defensive Rebound'}",Bam Adebayo defensive rebound,104,110,4,2:59,False,0,2025-12-04T03:40:49Z,False,"{'x': 22, 'y': 7}",0,Rebound,{'id': '14'},[{'athlete': {'id': '4066261'}}],179.0
