id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,team,participants,clockSec
401705041419,419,"{'id': '584', 'text': 'Substitution'}",Zach Collins enters the game for Victor Wembanyama,77,78,3,5:15,False,0,2025-01-04T03:31:11Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},"[{'athlete': {'id': '4066650'}}, {'athlete': {'id': '5104157'}}]",315.0
401705041420,420,"{'id': '584', 'text': 'Substitution'}",Julian Champagnie enters the game for Harrison Barnes,77,78,3,5:15,False,0,2025-01-04T03:31:11Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},"[{'athlete': {'id': '4592479'}}, {'athlete': {'id': '6578'}}]",315.0
401705041421,421,"{'id': '584', 'text': 'Substitution'}",Keldon Johnson enters the game for Stephon Castle,77,78,3,5:15,False,0,2025-01-04T03:31:11Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},"[{'athlete': {'id': '4395723'}}, {'athlete': {'id': '4845367'}}]",315.0
401705041426,426,"{'id': '92', 'text': 'Jump Shot'}",Nikola Jokic makes 26-foot three point jumper (Russell Westbrook assists),77,81,3,5:05,True,3,2025-01-04T03:31:40Z,True,"{'x': 20, 'y': 26}",{'id': '7'},"[{'athlete': {'id': '3112335'}}, {'athlete': {'id': '3468'}}]",305.0
401705041428,428,"{'id': '95', 'text': 'Layup Shot'}",Zach Collins misses layup,77,81,3,4:43,False,0,2025-01-04T03:32:01Z,True,"{'x': 29, 'y': 3}",{'id': '24'},[{'athlete': {'id': '4066650'}}],283.0
401705041429,429,"{'id': '155', 'text': 'Defensive Rebound'}",Nikola Jokic defensive rebound,77,81,3,4:41,False,0,2025-01-04T03:32:03Z,False,"{'x': 29, 'y': 3}",{'id': '7'},[{'athlete': {'id': '3112335'}}],281.0
401705041430,430,"{'id': '127', 'text': 'Layup Running Reverse'}",Christian Braun misses two point shot,77,81,3,4:38,False,0,2025-01-04T03:32:07Z,True,"{'x': 19, 'y': 4}",{'id': '7'},[{'athlete': {'id': '4431767'}}],278.0
401705041431,431,"{'id': '155', 'text': 'Defensive Rebound'}",Zach Collins defensive rebound,77,81,3,4:36,False,0,2025-01-04T03:32:09Z,False,"{'x': 19, 'y': 4}",{'id': '24'},[{'athlete': {'id': '4066650'}}],276.0
401705041432,432,"{'id': '109', 'text': 'Running Layup Shot'}",Devin Vassell makes two point shot,79,81,3,4:32,True,2,2025-01-04T03:32:12Z,True,"{'x': 29, 'y': -2}",{'id': '24'},[{'athlete': {'id': '4395630'}}],272.0
401705041433,433,"{'id': '92', 'text': 'Jump Shot'}",Russell Westbrook misses 26-foot three point jumper,79,81,3,4:24,False,0,2025-01-04T03:32:20Z,True,"{'x': 9, 'y': 21}",{'id': '7'},[{'athlete': {'id': '3468'}}],264.0
