game_id,game_date,home_team,away_team,location,date,hour,game_string,away_score,home_score
401705457,06/03/2025,Boston Celtics,Portland Trail Blazers,TD Garden,06/03/2025,00:00 UTC,"Portland Trail Blazers vs Boston Celtics @ TD Garden, 2025-03-06 00:00 UTC",118.0,128.0
401705458,06/03/2025,Charlotte Hornets,Minnesota Timberwolves,Spectrum Center,06/03/2025,00:00 UTC,"Minnesota Timberwolves vs Charlotte Hornets @ Spectrum Center, 2025-03-06 00:00 UTC",125.0,110.0
401705459,06/03/2025,Cleveland Cavaliers,Miami Heat,Rocket Arena,06/03/2025,00:00 UTC,"Miami Heat vs Cleveland Cavaliers @ Rocket Arena, 2025-03-06 00:00 UTC",107.0,112.0
401705460,06/03/2025,Washington Wizards,Utah Jazz,Capital One Arena,06/03/2025,00:00 UTC,"Utah Jazz vs Washington Wizards @ Capital One Arena, 2025-03-06 00:00 UTC",122.0,125.0
401705461,06/03/2025,Memphis Grizzlies,Oklahoma City Thunder,FedExForum,06/03/2025,02:30 UTC,"Oklahoma City Thunder vs Memphis Grizzlies @ FedExForum, 2025-03-06 02:30 UTC",120.0,103.0
401705462,06/03/2025,Denver Nuggets,Sacramento Kings,Ball Arena,06/03/2025,02:00 UTC,"Sacramento Kings vs Denver Nuggets @ Ball Arena, 2025-03-06 02:00 UTC",110.0,116.0
401705463,06/03/2025,Milwaukee Bucks,Dallas Mavericks,Fiserv Forum,06/03/2025,01:00 UTC,"Dallas Mavericks vs Milwaukee Bucks @ Fiserv Forum, 2025-03-06 01:00 UTC",107.0,137.0
401705464,06/03/2025,LA Clippers,Detroit Pistons,Intuit Dome,06/03/2025,03:30 UTC,"Detroit Pistons vs LA Clippers @ Intuit Dome, 2025-03-06 03:30 UTC",115.0,123.0
401705465,07/03/2025,Atlanta Hawks,Indiana Pacers,State Farm Arena,07/03/2025,00:30 UTC,"Indiana Pacers vs Atlanta Hawks @ State Farm Arena, 2025-03-07 00:30 UTC",118.0,124.0
401705466,07/03/2025,Boston Celtics,Philadelphia 76ers,TD Garden,07/03/2025,00:30 UTC,"Philadelphia 76ers vs Boston Celtics @ TD Garden, 2025-03-07 00:30 UTC",105.0,123.0
401705467,07/03/2025,Brooklyn Nets,Golden State Warriors,Barclays Center,07/03/2025,00:30 UTC,"Golden State Warriors vs Brooklyn Nets @ Barclays Center, 2025-03-07 00:30 UTC",121.0,119.0
401705468,07/03/2025,New Orleans Pelicans,Houston Rockets,Smoothie King Center,07/03/2025,01:00 UTC,"Houston Rockets vs New Orleans Pelicans @ Smoothie King Center, 2025-03-07 01:00 UTC",109.0,97.0
401705469,07/03/2025,Los Angeles Lakers,New York Knicks,crypto.com Arena,07/03/2025,03:00 UTC,"New York Knicks vs Los Angeles Lakers @ crypto.com Arena, 2025-03-07 03:00 UTC",109.0,113.0
401705470,08/03/2025,Charlotte Hornets,Cleveland Cavaliers,Spectrum Center,08/03/2025,00:00 UTC,"Cleveland Cavaliers vs Charlotte Hornets @ Spectrum Center, 2025-03-08 00:00 UTC",118.0,117.0
401705471,08/03/2025,Toronto Raptors,Utah Jazz,Scotiabank Arena,08/03/2025,00:30 UTC,"Utah Jazz vs Toronto Raptors @ Scotiabank Arena, 2025-03-08 00:30 UTC",109.0,118.0
401705472,08/03/2025,Dallas Mavericks,Memphis Grizzlies,American Airlines Center,08/03/2025,00:30 UTC,"Memphis Grizzlies vs Dallas Mavericks @ American Airlines Center, 2025-03-08 00:30 UTC",122.0,111.0
401705473,08/03/2025,Miami Heat,Minnesota Timberwolves,Kaseya Center,08/03/2025,01:00 UTC,"Minnesota Timberwolves vs Miami Heat @ Kaseya Center, 2025-03-08 01:00 UTC",106.0,104.0
401705474,08/03/2025,Oklahoma City Thunder,Portland Trail Blazers,Paycom Center,08/03/2025,01:00 UTC,"Portland Trail Blazers vs Oklahoma City Thunder @ Paycom Center, 2025-03-08 01:00 UTC",89.0,107.0
401705475,08/03/2025,Denver Nuggets,Phoenix Suns,Ball Arena,08/03/2025,03:00 UTC,"Phoenix Suns vs Denver Nuggets @ Ball Arena, 2025-03-08 03:00 UTC",141.0,149.0
401705476,08/03/2025,Sacramento Kings,San Antonio Spurs,Golden 1 Center,08/03/2025,03:00 UTC,"San Antonio Spurs vs Sacramento Kings @ Golden 1 Center, 2025-03-08 03:00 UTC",109.0,127.0
401705477,08/03/2025,LA Clippers,New York Knicks,Intuit Dome,08/03/2025,03:30 UTC,"New York Knicks vs LA Clippers @ Intuit Dome, 2025-03-08 03:30 UTC",95.0,105.0
401705478,08/03/2025,Charlotte Hornets,Brooklyn Nets,Spectrum Center,08/03/2025,23:00 UTC,"Brooklyn Nets vs Charlotte Hornets @ Spectrum Center, 2025-03-08 23:00 UTC",102.0,105.0
401705479,09/03/2025,Houston Rockets,New Orleans Pelicans,Toyota Center (Houston),09/03/2025,00:00 UTC,"New Orleans Pelicans vs Houston Rockets @ Toyota Center (Houston), 2025-03-09 00:00 UTC",117.0,146.0
401705480,09/03/2025,Atlanta Hawks,Indiana Pacers,State Farm Arena,09/03/2025,00:30 UTC,"Indiana Pacers vs Atlanta Hawks @ State Farm Arena, 2025-03-09 00:30 UTC",118.0,120.0
401705481,09/03/2025,Toronto Raptors,Washington Wizards,Scotiabank Arena,09/03/2025,00:30 UTC,"Washington Wizards vs Toronto Raptors @ Scotiabank Arena, 2025-03-09 00:30 UTC",118.0,117.0
401705482,09/03/2025,Miami Heat,Chicago Bulls,Kaseya Center,09/03/2025,01:00 UTC,"Chicago Bulls vs Miami Heat @ Kaseya Center, 2025-03-09 01:00 UTC",114.0,109.0
401705483,09/03/2025,Milwaukee Bucks,Orlando Magic,Fiserv Forum,09/03/2025,01:00 UTC,"Orlando Magic vs Milwaukee Bucks @ Fiserv Forum, 2025-03-09 01:00 UTC",111.0,109.0
401705484,09/03/2025,Boston Celtics,Los Angeles Lakers,TD Garden,09/03/2025,01:30 UTC,"Los Angeles Lakers vs Boston Celtics @ TD Garden, 2025-03-09 01:30 UTC",101.0,111.0
401705485,09/03/2025,Golden State Warriors,Detroit Pistons,Chase Center,09/03/2025,01:30 UTC,"Detroit Pistons vs Golden State Warriors @ Chase Center, 2025-03-09 01:30 UTC",110.0,115.0
401705486,09/03/2025,Oklahoma City Thunder,Denver Nuggets,Paycom Center,09/03/2025,17:00 UTC,"Denver Nuggets vs Oklahoma City Thunder @ Paycom Center, 2025-03-09 17:00 UTC",103.0,127.0
401705487,09/03/2025,Dallas Mavericks,Phoenix Suns,American Airlines Center,09/03/2025,19:30 UTC,"Phoenix Suns vs Dallas Mavericks @ American Airlines Center, 2025-03-09 19:30 UTC",125.0,116.0
401705488,10/03/2025,Milwaukee Bucks,Cleveland Cavaliers,Fiserv Forum,10/03/2025,00:00 UTC,"Cleveland Cavaliers vs Milwaukee Bucks @ Fiserv Forum, 2025-03-10 00:00 UTC",112.0,100.0
